Date,Headline,Polarity,Subjectivity,Overall Sentiment
2024-09-10,Man in late teens arrested over fatal Dublin hit-and-run,-0.3,0.6,Negative
2024-09-10,Guildford bombing to be among first legacy investigations,0.25,0.3333333333333333,Positive
2024-09-10,Israeli strikes on Syria kill at least 16 - state media,-0.3,0.4,Negative
2024-09-10,Team Ireland Paralympic athletes due to return home,-0.125,0.375,Negative
2024-09-10,Swimmer Registe subjected to racist abuse during Games,0.0,0.0,Neutral
2024-09-10,Kelleher: Departure from Liverpool out of my hands,0.0,0.0,Neutral
2024-09-10,New boy McAteer hungry for more after 'dream' debut,0.3181818181818182,0.4772727272727273,Positive
2024-09-10,"Draghi urges reform, investment drive to revive EU",0.0,0.0,Neutral
2024-09-10,The growing online threats to sabotage elections,0.0,0.0,Neutral
2024-09-10,Eight Scott medals to be awarded to gardaí for bravery,0.0,0.0,Neutral
2024-09-10,Noel Gallagher thrilled to be added to London gallery,0.6,0.7,Positive
2024-09-10,Work to identify origins of historic shipwrecks on Portmarnock beach,0.0,0.0,Neutral
2024-09-10,Volvo latest car company to row back on EV plans,0.25,0.45,Positive
2024-09-10,Irish employers least likely to use AI - global survey,-0.075,0.35,Negative
2024-09-10,Ogbene: England was always going to be a difficult game,-0.45,0.7,Negative
2024-09-10,Here's what your skin might be saying about your health,0.0,0.0,Neutral
2024-09-10,Decision on Casement Park funding expected this week,-0.1,0.4,Negative
2024-09-10,"Foras na Gaeilge launches Ireland's first bilingual website, 2004",0.25,0.3333333333333333,Positive
2024-09-10,Schmidt feeling the heat after cold Wallabies start,-0.6,1.0,Negative
2024-09-10,Work to identify historic shipwrecks on Portmarnock beach,0.0,0.0,Neutral
2024-09-10,Work to identify historic shipwrecks on Portmarnock beach,0.0,0.0,Neutral
2024-09-10,How old will you be before you own a home of your own?,0.4333333333333333,0.7333333333333334,Positive
2024-09-10,Kasey McAteer reflects on 'dream' debut,0.0,0.0,Neutral
2024-09-10,Trump 'very offended' by Putin's support of Harris,0.2,0.3,Positive
2024-09-10,Heimir Hallgrimsson: Ireland lacked confidence and initiative,0.0,0.0,Neutral
2024-09-10,Starmer speaks of relationship 'reset' with Ireland,0.0,0.0,Neutral
2024-09-10,Jack Grealish puts England two up against Ireland,0.0,0.0,Neutral
2024-09-10,Protesters call for 'amnesty' for XL bullies,0.0,0.0,Neutral
2024-09-10,Paris 2024: Britney Arendse happy after three PBs and fourth place,0.4,0.5,Positive
2024-09-10,Abuse report: More than 160 contacts made to gardaí,0.5,0.5,Positive
2024-09-10,Declan Rice gives England the lead against Ireland,0.0,0.0,Neutral
2024-09-10,Israeli strikes in Gaza kill 61 people in 48 hours,0.0,0.0,Neutral
2024-09-10,Happy return to Lansdowne Road for Lee Carsley,0.8,1.0,Positive
2024-09-10,Real intention to reset British-Irish relations - UK PM,0.2,0.30000000000000004,Positive
2024-09-10,Richael Timothy reflects on Paralympic Games,0.0,0.0,Neutral
2024-09-10,Paris 2024: Mary Fitzgerald eighth in F40 shot put final,0.0,1.0,Neutral
2024-09-10,Dublin artist Aby Coulibaly on supporting Coldplay,0.25,0.25,Positive
2024-09-10,The Late Late Show: Landing 13 Sept | RTÉ One & RTÉ Player,-0.3,0.6,Negative
2024-09-10,Turkey U21 0-1 Republic of Ireland U21,0.0,0.0,Neutral
2024-09-10,Paris 2024: Silver medal still 'amazing' for Dunlevy,0.6000000000000001,0.9,Positive
2024-09-10,Minister 'confident' of Irish signage at Belfast station,0.25,0.4166666666666667,Positive
2024-09-10,Stormont opposition plan calls to rescue public services,0.0,0.06666666666666667,Neutral
2024-09-10,Three young boys charged with arson after NI church fire,0.1,0.4,Positive
2024-09-10,Newry teen aiming for triple swim crown,0.0,0.0,Neutral
2024-09-10,Man charged in connection with assault of woman in Dublin,0.0,0.0,Neutral
2024-09-10,Would you really pay €500 for an Oasis ticket?,0.2,0.2,Positive
2024-09-10,How to save cash on your energy bills,0.0,0.0,Neutral
2024-09-10,Three penalty points could push up motor insurance by 10%,0.0,0.0,Neutral
2024-09-10,6 money conversations every couple needs to have,0.0,0.0,Neutral
2024-09-10,Man in late teens arrested over fatal Dublin hit-and-run,-0.3,0.6,Negative
2024-09-10,Guildford bombing to be among first legacy investigations,0.25,0.3333333333333333,Positive
2024-09-10,Israeli strikes on Syria kill at least 16 - state media,-0.3,0.4,Negative
2024-09-10,"Draghi urges reform, investment drive to revive EU",0.0,0.0,Neutral
2024-09-10,Work to identify historic shipwrecks on Portmarnock beach,0.0,0.0,Neutral
2024-09-10,'The boss is the boss' - Players know who's in charge,0.0,0.0,Neutral
2024-09-10,Kelleher: Departure from Liverpool out of my hands,0.0,0.0,Neutral
2024-09-10,Ogbene: England was always going to be a difficult game,-0.45,0.7,Negative
2024-09-10,Decision on Casement Park funding expected this week,-0.1,0.4,Negative
2024-09-10,Swimmer Registe subjected to racist abuse during Games,0.0,0.0,Neutral
2024-09-10,Work to identify historic shipwrecks on Portmarnock beach,0.0,0.0,Neutral
2024-09-10,Eight Scott medals to be awarded to gardaí for bravery,0.0,0.0,Neutral
2024-09-10,Swimmer Registe subjected to racist abuse during Games,0.0,0.0,Neutral
2024-09-10,Body found in search for Irish man missing in Italy,-0.1,0.025,Negative
2024-09-10,Guildford bombing to be among first legacy investigations,0.25,0.3333333333333333,Positive
2024-09-10,Report claims zoned land for new housing in wrong places,-0.18181818181818182,0.6772727272727272,Negative
2024-09-10,Man charged in connection with assault of woman in Dublin,0.0,0.0,Neutral
2024-09-10,Israeli strikes on Syria kill at least 16 - state media,-0.3,0.4,Negative
2024-09-10,"Club GAA: Raheny bow out, controversy rages in Longford",0.0,0.0,Neutral
2024-09-10,"Nations League: Ronaldo sinks Scotland, Modric on mark",-0.1,0.0,Negative
2024-09-10,Work to identify historic shipwrecks on Portmarnock beach,0.0,0.0,Neutral
2024-09-10,How old will you be before you own a home of your own?,0.4333333333333333,0.7333333333333334,Positive
2024-09-10,Trump 'very offended' by Putin's support of Harris,0.2,0.3,Positive
2024-09-10,Conflict between protesters and police in Tel Aviv,0.0,0.0,Neutral
2024-09-10,Kasey McAteer reflects on 'dream' debut,0.0,0.0,Neutral
2024-09-10,Heimir Hallgrimsson: Ireland lacked confidence and initiative,0.0,0.0,Neutral
2024-09-10,Real intention to reset British-Irish relations - UK PM,0.2,0.30000000000000004,Positive
2024-09-10,Protesters call for 'amnesty' for XL bullies,0.0,0.0,Neutral
2024-09-10,Declan Rice gives England the lead against Ireland,0.0,0.0,Neutral
2024-09-10,Paris 2024: Britney Arendse happy after three PBs and fourth place,0.4,0.5,Positive
2024-09-10,Newspaper Panel,0.0,0.0,Neutral
2024-09-10,"“I thought therapy’s for other people, not me!” - actor, Robert Sheehan",-0.15625,0.375,Negative
2024-09-10,The Watch List,0.0,0.0,Neutral
2024-09-10,'Ireland is two decisions away from being a brilliant country',0.9,1.0,Positive
2024-09-10,Understanding jealousy: “Their success is not your failure”,-0.00833333333333336,0.15,Negative
2024-09-10,'It's a lifetime of crucifixion',0.0,0.0,Neutral
2024-09-10,“He’s a bit mad... a bit crazed” - why do we love The Joker?,-0.0625,0.8,Negative
2024-09-10,Chess grudge match of the Century,0.0,0.0,Neutral
2024-09-10,What to do with your windfall apples?,0.0,0.0,Neutral
2024-09-10,English media slam Lee Carsley,0.0,0.0,Neutral
2024-09-10,We and our partners process data to provide:,0.0,0.0,Neutral
2024-09-10,Manage Consent Preferences,0.0,0.0,Neutral
2024-09-10,Cookie List,0.0,0.0,Neutral
